regime,n_days,n_fire,n_multi,p_multi,sync,RR_mean,CI_low,CI_high,pval
TH,2043,1349,751,0.3675966715614293,0.5567086730911787,1.0547121866760056,0.988157894736842,1.1293233082706768,0.096
WH,2256,1447,849,0.37632978723404253,0.5867311679336559,1.0388526235314002,0.9747416762342136,1.1055047822278357,0.24
FH,1610,1009,560,0.34782608695652173,0.5550049554013875,1.031010831430711,0.955631399317406,1.1155378486055778,0.452
AM,3182,2582,1784,0.5606536769327467,0.6909372579395817,1.0109269033334676,0.9802197802197803,1.040263599059839,0.508
CH,1347,778,442,0.3281365998515219,0.5681233933161953,1.0025448285390872,0.9169177154418573,1.094127275630789,0.98
EH,2774,1677,889,0.3204758471521269,0.530113297555158,0.9758233149037687,0.9241164241164241,1.0349243306169966,0.416
COL,2395,1429,831,0.34697286012526096,0.5815255423372988,0.961440763938584,0.901301518438178,1.0221402214022142,0.216
WCT,829,499,283,0.3413751507840772,0.5671342685370742,0.8596251552213646,0.7796143250688705,0.9528619528619529,0.006
